Metabolite,Vip_plsda,Vip_oplsda,P_value,fdr,FC,NOP_1_V,NOP_2_V,NOP_3_V,NOP_4_V,NOP_5_V,NOP_6_V,NOP_7_V,NOP_8_V,NOP_9_V,NOP_10_V,NOP_11_V,NOP_12_V,NOP_13_V,NOP_14_V,NOP_15_V,NOP_16_V,NOP_17_V,NOP_18_V,NOP_19_V,NOP_22_V,NOP_23_V,NOP_24_V,NOP_26_V,NOP_27_V,NOP_30_V,NOP_31_V,P_1_V,P_2_V,P_4_V,P_6_V,P_8_V,P_9_V,P_15_V,P_16_V,P_17_V,P_18_V,P_19_V,P_20_V,P_21_V,P_22_V,P_23_V,P_25_V,P_26_V,P_27_V,P_28_V,P_29_V,P_30_V,P_32_V,P_33_V,P_35_V,P_36_V,P_37_V,P_38_V,P_42_V,P_43_V,P_44_V,P_45_V,P_46_V
Physagulin A,1.627916231,1.818123655,0.01459,0.1171,1.19844358,0.465410102,0.920246825,1.481013421,1.308099212,1.5398342,0.435996387,1.080997032,0.919186198,1.121173512,0.93008147,1.212727927,1.618267093,0.382353935,0.706621796,0.709092248,1.255202042,0.328653729,1.253208687,1.461713603,1.188962834,1.322052995,1.150491614,1.353450434,1.396864404,0.795222012,0.38781623,1.066399142,1.441527197,1.08367523,1.295615623,1.133840493,0.865890688,1.154874752,1.290580988,1.444660011,1.036951547,1.506617448,1.166039451,0.939764375,1.422360629,1.38874649,1.360575897,1.309870871,1.324260375,1.565282046,1.07046477,0.964345827,1.633865769,1.271173381,0.768277837,1.370891705,1.360934163,1.304268521,1.269523844,1.416948393,1.21302283,1.102027976,0.881450024
"5-Megastigmen-7-yne-3,9-diol 3-glucoside",1.470783226,1.594763315,0.04621,0.2479,0.81910828,1.443522543,1.08737555,0.886607427,0.798439204,0.534406784,0.888458726,1.45773594,0.778963984,0.690968742,1.02114077,1.236205818,0.961574944,1.458925357,1.661674085,1.390886381,1.445687932,1.142524712,0.607577728,0.815687937,1.613486394,1.390170204,0.955316382,1.748662387,0.978235523,0.833922358,0.734073017,0.070453515,0.792052727,1.18013482,0.882957069,0.666403496,1.216403225,0.559385271,0.319960067,0.706286792,0.471809451,0.288781925,0.714363766,1.269950175,1.334200979,0.602587948,1.118334265,0.932885704,1.344013122,1.082929953,0.236802433,1.362772325,1.582414983,0.864502344,0.430165729,1.020576588,1.098587633,1.247035016,1.112590337,1.273656836,0.927973736,1.279262762,0.815652267
Xanthochymuside,1.463276255,1.604942006,0.02001,0.1469,0.9010181,2.151768654,1.505152124,1.800323652,1.886699109,1.953065527,1.728342285,1.80575343,1.638666443,1.997958419,1.80491179,2.046082497,1.70160859,1.636481777,1.963956376,1.661581226,1.747341661,1.835539867,1.53852367,1.243651408,1.624168493,1.833414209,1.532284549,1.80882584,1.756103298,1.892239978,1.870891491,1.518785065,1.489456216,1.672570504,1.61589123,2.149474787,1.89707857,1.636788739,1.238159423,1.948842512,1.591598184,1.292861042,0.496124531,1.624543298,1.743719664,1.232595584,1.509271297,1.310645631,1.490257393,0.919655603,1.674363124,1.300963561,1.632877396,1.646583472,1.880390911,1.973349675,1.838973176,1.738796278,1.778520436,1.881891066,1.588398185,1.764082568,1.913608034
Furanofukinin,1.22740279,1.411175729,0.001467,0.02344,0.964467005,2.551061791,2.609627556,2.530657841,2.720549405,2.612834603,2.642349699,2.559879814,2.429097333,2.571790738,2.618278384,2.557384052,2.628899011,2.522871466,2.668582876,2.426938541,2.477458691,2.542763073,2.449425126,2.700691712,2.673481518,2.417522403,2.381387816,2.46206419,2.705512914,2.569770752,2.558920498,2.572478038,2.47341934,2.481349971,2.462318432,2.280677311,2.353441532,2.593483756,2.513927203,2.771635984,2.562665431,2.500355998,2.435532537,2.437766083,2.521061841,2.442797709,2.498457009,2.624049605,2.327161779,2.528653429,2.348214075,2.332172873,2.528311006,2.473659773,2.426690046,2.553978774,2.411039132,2.366837242,2.282996374,2.361020327,2.481802975,2.429252392,2.647404928
"PC(20:4(5Z,8Z,11Z,14Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",1.653225321,1.829366848,0.008644,0.08109,1.102469785,2.059196008,1.810894497,2.065613202,1.475478199,0.904105594,1.902051336,2.085114719,2.227171992,2.193058093,1.92191734,1.603811574,1.870344659,1.811648021,2.116802092,1.687742969,1.568027424,1.933200714,1.967047103,2.176828772,1.84684817,2.183850201,2.062329167,1.671351664,2.139918104,2.201530905,1.990796104,2.530830682,2.09489484,2.101260438,1.870882425,1.933613527,2.231033429,2.101993805,2.146136042,1.39000882,2.197298879,1.927940061,2.648087806,1.607294561,1.998517936,2.317790714,2.068230092,2.095503456,2.362849424,1.835135478,2.227060522,2.213583173,1.919809852,1.847644238,2.031563195,2.175103626,1.940134479,2.156400086,2.548829365,2.044420911,2.141402919,2.256859968,2.176862532
"PC(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",1.155553986,1.214624901,0.02649,0.1772,1.037821483,2.63263534,2.585769512,2.703428201,2.368540217,2.277501828,2.686221254,2.588155165,2.921798238,2.766333432,2.5674777,2.413184572,2.527277525,2.457083622,2.771305488,2.663151921,2.453675916,2.693996917,2.696041552,2.796359096,2.561764326,2.850765167,2.795750879,2.706399554,2.650142315,2.891735474,2.725655646,3.050029396,2.724906849,2.757270993,2.561374516,2.547467852,2.669477612,2.702110288,2.741618721,2.425437628,2.743845618,2.779449047,3.210436213,2.519109368,2.663999647,2.610958155,2.76903539,2.71191504,2.868256053,2.420332433,2.812104574,2.799936988,2.622963433,2.811872624,2.779383565,2.774806313,2.721643598,2.788394582,3.107442744,2.655585579,2.811435365,2.759358836,2.88292852
"PS(18:0/22:5(7Z,10Z,13Z,16Z,19Z))",1.493360896,1.556269775,0.04155,0.2311,1.099767981,1.857351996,1.437471424,2.062594204,0.961322728,1.009920654,1.802099833,1.674154775,2.091942109,1.603347342,1.766708611,1.82925776,1.445735542,1.702456335,1.57209809,1.860802634,1.712543585,1.678014244,2.050986096,2.129245258,1.839065832,1.77199423,2.177662299,1.250364001,2.004665851,1.965387755,1.563631303,2.022343384,1.853415959,1.590596757,1.843713845,1.842417095,2.040843803,2.027998564,1.917701058,1.109660423,1.957962485,2.047039948,2.37840385,1.023459939,1.959248048,1.972261971,1.637509171,2.001449885,2.161330517,1.399331799,1.915604098,2.323261008,1.530740174,1.957206677,2.065357367,2.021913928,1.844362045,1.983881286,2.227274786,2.35838439,1.761575165,2.140826735,1.757446639
SM(d18:1/14:0),1.118847358,1.107987766,0.04698,0.2494,1.036484245,1.961529341,2.223147816,2.598870797,2.516033957,2.219130209,2.119660866,2.447237152,2.64104339,2.542905955,2.443226704,2.505758524,2.259841196,2.418804865,2.358154472,2.719185756,2.302780761,2.507025998,2.495226079,2.480221748,2.361625304,2.514056736,2.442324686,2.434579797,2.495318206,2.533574539,2.169011343,2.647176081,2.593268882,2.337861268,2.57879449,2.445416582,2.325974547,2.35673171,2.550677503,2.07448455,2.579546982,2.494935115,2.931281904,2.417050081,2.485634779,2.430568116,2.500048815,2.473773359,2.60153708,2.447227453,2.501188186,2.513080777,2.260630125,2.392448316,2.49065354,2.492428534,2.605540391,2.56956662,2.849186763,2.617320502,2.472701684,2.608814875,2.353527451
"PC(16:1(9Z)/18:2(9Z,12Z))",0.990505,1.043548257,0.01651,0.1276,1.020091324,3.109365099,3.277187611,3.352081844,3.176618402,3.245673372,3.256767448,3.203186357,3.423464044,3.407669721,3.312726837,3.088534301,3.19998328,3.219935086,3.207687797,3.390722533,3.282801339,3.334427677,3.244823961,3.314203344,3.358293871,3.379632913,3.291775451,3.36804776,3.222811959,3.412932179,3.318436157,3.62906782,3.252290539,3.261262218,3.305769954,3.284027783,3.080796401,3.33888881,3.228087348,3.337304894,3.263487345,3.487956092,3.518298526,3.441168877,3.400634332,3.257064955,3.405752971,3.226246629,3.337703732,3.309715707,3.394208086,3.444733231,3.349067821,3.300156578,3.481059883,3.458852118,3.454915101,3.333855132,3.464990974,3.365166741,3.277505216,3.22070225,3.321387003
PE(15:0/20:1(11Z)),1.444763996,1.484116555,0.01348,0.1109,1.056170562,2.231095826,2.278250098,2.553190137,2.204417678,2.394635609,1.977200733,2.403730143,2.676289069,2.705380547,2.602601114,2.273752334,2.432106003,2.503287391,2.256919563,2.502338509,2.529578226,2.521691653,2.350541261,2.366458824,2.490569644,2.540517362,2.625545652,2.51426023,2.443529329,2.60147186,2.434982404,2.939337079,2.258933153,2.18820815,2.417812979,2.709738928,2.556299079,2.42883027,2.500706857,2.247319223,2.546994431,2.812081203,2.673737514,2.804373524,2.600750064,2.651253889,2.618460942,2.491749927,2.179826268,2.468052052,2.620960508,2.819182815,2.647287735,2.407092671,2.718449213,2.908970303,2.953980982,2.643111644,2.928676364,2.460397036,2.523584956,2.627514603,2.076684317
