names,P_46,P_45,P_44,P_42,P_38,P_37,P_35,P_33,P_32,P_30,P_29,P_28,P_27,P_26,P_25,P_23,P_22,P_21,P_20,P_19,P_18,P_17,P_16,P_15,P_9,P_8,P_6,P_5,P_4,P_2,P_1,NOP_31,NOP_30,NOP_29,NOP_28,NOP_27,NOP_24,NOP_23,NOP_22,NOP_21,NOP_20,NOP_19,NOP_18,NOP_17,NOP_15,NOP_14,NOP_13,NOP_12,NOP_11,NOP_10,NOP_8,NOP_7,NOP_6,NOP_2,NOP_1
Gemella_morbillorum,0.00718,0.03028,0,0.00194,0.01279,0,0,0,0.00361,0.01974,0.00102,0.01369,0,0,0,0.00651,0.0131,0.00264,0.00333,0.00456,0,0,0.01132,0,0.02096,0.01541,0.00211,0,0.01341,0.00759,0.03003,0,0.0069,0,0,0,0.00433,0.03455,0.00646,0.00322,0.0009,0,0.00056,0,0.00782,0,0.0022,0,0.05439,0,0.0226,0,0.00518,0.00278,0.00107
Gemella_sanguinis,0.10807,0.05196,0,0.01063,0.00171,0.03138,0.01958,0.03115,0.06181,0.03444,0.0406,0.02968,0.00248,0.07158,0,0.0389,0.09552,0.02248,0.03729,0.04935,0.00413,0.02757,0.19539,0.00167,0.01248,0.07147,0.11941,0.07922,0.02847,0.03916,0.0749,0.00513,0.01401,0.00488,0.00635,0.03396,0.00319,0.05703,0.03054,0.04056,0.00298,0.00194,0.02856,0,0.0206,0.00269,0.03927,0.01462,0.07767,0.03061,0.09195,0,0.02598,0,0.00343
Macrococcus_caseolyticus,0.14018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00038,0,0,0,0,0.2478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus_epidermidis,0,0,0,0.01604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00289,0,0,0,0,0,0,0,0,0,0,0.00228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus_gallinarum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus_hominis,0,0,0,0.00521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus_sciuri,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus_warneri,0,0,0,0,0,0,0,0.00049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus_xylosus,0,0,0,0,0.0041,0,0,0,0,0,0,0,0,0.02702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abiotrophia_defectiva,0,0,0,0,0.00118,0.00376,0,0,0,0,0,0,0,0,0,0.00174,0,0,0,0,0,0,0,0,0.00217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00594,0,0,0,0,0,0
Abiotrophia_sp_HMSC24B09,0,0,0,0,0.01705,0.00511,0,0,0,0,0,0.00062,0,0,0,0.0133,0.00106,0,0,0.01721,0,0,0.00047,0,0.01893,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0.00318,0,0,0,0.00131,0,0,0,0.02295,0,0,0,0.00027,0,0
Carnobacterium_divergens,0,0,0,0.40444,0.01578,0,0,0,0.03141,0,0.0126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02431,0,0,0,0,0,0,0,0,0,0,0,0,0.01008,0.00471,0,0.00739,0,0,0,0,0,0,0,0,0,0,0,0,0
Carnobacterium_maltaromaticum,0,0,0,0.00599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granulicatella_adiacens,0,0,0,0,0,0,0,0,0,0,0,0.00162,0,0,0,0,0,0,0,0.00114,0,0,0,0,0,0,0,0,0.00078,0,0.00219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00077,0,0.00156,0,0
Granulicatella_elegans,0,0,0,0,0,0,0,0,0.00011,0,0,0.00502,0,0,0,0,0,0,0,0.00305,0,0,0,0,0.00276,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00836,0,0.00033
