names,P_46,P_45,P_44,P_42,P_38,P_37,P_35,P_33,P_32,P_30,P_29,P_28,P_27,P_26,P_25,P_23,P_22,P_21,P_20,P_19,P_18,P_17,P_16,P_15,P_9,P_8,P_6,P_5,P_4,P_2,P_1,NOP_31,NOP_30,NOP_29,NOP_28,NOP_27,NOP_24,NOP_23,NOP_22,NOP_21,NOP_20,NOP_19,NOP_18,NOP_17,NOP_15,NOP_14,NOP_13,NOP_12,NOP_11,NOP_10,NOP_8,NOP_7,NOP_6,NOP_2,NOP_1
Bifidobacterium_longum,0,7.16354,0.01425,6.03022,2.66994,2.38329,1.90029,18.84068,1.53559,1.25591,0.84603,1.04701,0,0.33877,0.46568,8.15023,0.20491,8.72269,9.56442,3.91279,0.70117,2.25442,0.00489,0.25577,0.3136,3.85955,1.89209,4.88963,0.00665,1.28104,0,4.62227,0.35776,1.12202,0.09573,4.08491,2.2615,0.25181,0.2143,0.23439,0,6.18484,7.19044,0.37033,17.34954,37.22072,0.0016,2.44984,0.15544,0.05158,0.04402,5.48162,0.00168,0.70404,0.1211
Bifidobacterium_pseudocatenulatum,0.10363,0.48039,0.00953,6.2143,2.58319,2.85666,0.0053,0,1.02353,11.70609,0,0.74339,0,0.29883,1.15485,0.00179,0,4.96845,0,9.89999,1.33458,2.07738,0.00126,0,1.24687,2.83805,3.32176,6.90388,0.23419,1.6313,0,0,0.12937,1.55105,0.1107,1.14102,2.37867,1.70292,0.00216,0.00502,9.70027,6.20568,5.39268,1.2986,14.5357,0,0.02869,1.43353,0.42336,0.00989,0.00719,25.59192,0.00328,0.82435,0.17248
Gardnerella_vaginalis,0.00284,0,0.00067,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parascardovia_denticolens,0,0,0,0.00031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00614
Scardovia_wiggsiae,0.00268,0,0,0,0,0,0.00243,0,0,0,0,0,0.00104,0,0,0,0,0,0,0,0.02411,0,0.00261,0,0,0.00132,0,0,0.00857,0,0,0.0073,0,0.00639,0,0,0.00358,0,0,0,0,0,0,0,0,0,0,0.00039,0,0,0,0.0008,0,0.01635,0
Corynebacterium_argentoratense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00735,0,0.0069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corynebacterium_durum,0.00505,0,0,0,0,0,0,0,0,0,0,0,0.00367,0,0,0,0,0,0,0,0.00581,0,0,0,0,0.01346,0,0,0,0,0,0,0.00058,0,0.00075,0,0,0.00105,0,0,0,0.00178,0.00234,0,0.00074,0,0,0,0,0,0,0,0.01174,0.00097,0
Lawsonella_clevelandensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00235
Clavibacter_michiganensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109,0,0
Kocuria_varians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00702,0,0,0,0,0,0,0,0,0,0,0,0
Rothia_aeria,0.00105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rothia_dentocariosa,0,0,0,0.01548,0,0,0,0,0,0,0.00606,0,0.01337,0,0,0,0,0,0,0,0,0,0,0,0,0.00961,0.00019,0.00891,0,0,0,0,0,0,0,0.00844,0,0,0,0,0,0,0,0,0,0,0.00064,0,0,0,0,0,0,0,0
Rothia_mucilaginosa,0.00702,0.00798,0.001,0.03496,0.00884,0,0,0.01819,0.04832,0,0.10966,0.01314,0.00262,0,0,0.00665,0.01094,0.00904,0.01235,0.00571,0.03542,0.01933,0,0,0.02435,0.03486,0.02315,0,0.0171,0.07399,0.15583,0.00279,0.00399,0.00662,0.00188,0.01726,0,0.01179,0.01635,0.01957,0,0,0.03546,0,0,0.00308,0.14145,0,0.00651,0.02564,0.00661,0,0,0.00415,0.05698
Micropruina_glycogenica,0,0,0.00014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propionibacterium_acidifaciens,0.00765,0.00402,0,0.0519,0,0,0,0,0.00203,0,0,0,0,0,0,0.00189,0,0,0,0,0,0,0.00894,0,0,0.02785,0,0,0.00237,0,0,0,0,0.00522,0,0,0.01301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01022,0,0,0.01365
Pseudopropionibacterium_propionicum,0,0.00393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00082,0,0,0,0,0,0.00291,0,0.00252,0.00107,0.00299,0,0,0,0.00591,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011,0,0,0,0,0,0,0,0.00284,0,0
Atopobium_deltae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atopobium_parvulum,0,0.00559,0,0.00855,0,0.00408,0,0.00191,0.0006,0,0.00131,0.0003,0.00377,0,0,0.00462,0,0,0,0,0,0,0,0,0.00521,0,0,0.00646,0,0,0.00303,0.00041,0,0,0,0,0,0.00073,0,0,0,0,0,0,0,0,0,0,0,0,0.00674,0,0,0.00137,0
Atopobium_rimae,0,0.00087,0,0.00758,0.0013,0,0,0.01068,0.00151,0,0,0,0,0,0,0,0,0.00175,0,0,0,0,0,0,0.00828,0,0,0.00023,0,0,0.0052,0,0,0,0,0,0,0,0,0,0.00113,0,0,0,0,0,0,0,0,0,0.0003,0,0,0,0.00156
Atopobium_vaginae,0,0,0.00196,0,0,0,0,0,0,0,0,0,0,0,0,0.00187,0.00078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00431,0,0,0,0,0,0,0,0,0,0,0,0
Olsenella_profusa,0.00411,0,0,0.00194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olsenella_scatoligenes,0,0,0,0,0,0.00597,1.9917,0.00011,0.01619,0,0,0,0,0,0,0,0,0,0,2.26871,0,0,0,0,0,0,0,0,0,0.00028,0,0,0,0,0,0,0,0,0,0,0,0,0.07004,0,0,0,0,0,0,0,0,0,0,0,0
Olsenella_uli,0.01474,0,0,0,0,0,0,0,0,0,0,0,0.01793,0,0,0,0,0,0,0,0,0,0.00113,0,0.01205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01044,0,0
Collinsella_aerofaciens,0,0,0.46264,25.70787,3.02341,5.43155,3.26306,4.91321,9.61079,2.25475,2.17943,2.52104,0.00449,8.12086,0.85103,3.96892,3.17281,0.00694,4.92581,12.76996,2.03879,0.02749,29.71169,0.91916,6.316,4.48691,0.0044,0.00029,4.93494,6.37213,0.58128,0,2.99269,0.60618,1.32318,0.00033,6.47264,2.58806,0.81134,0.90997,0,3.3449,3.8794,0.00529,9.24262,0.00302,2.06616,2.63035,1.66947,2.42775,3.17276,0,3.70063,1.97429,0.59691
Collinsella_intestinalis,0,0,0,0,0,0,0,0.00135,0,0,0,0,0,0,0,0,0,0,0.00091,0,0,0,0,0.01422,0.00681,1.73295,0,0,0,0,0,3.3779,0,3.08615,0,0,0.15418,0,0,0,0,0.00033,0.00161,0.11213,0,0.56949,0.73239,0,0,0.04116,0,0,0.00131,0.01598,0
Collinsella_stercoris,0,0,0.00063,0.08333,0.00399,0.01139,0.00083,0.01409,0.02388,0.00297,0.00448,0.00701,0,0.01077,0.00104,0.00856,0.00682,0,0.0027,0.00974,0.00697,0,0.09423,0.04946,0.04639,0.1099,0.02683,0,0.00626,0.02075,0.00046,0.03248,0.00286,0.07946,0.00183,0,0.44362,0.00891,0.00225,0.00327,0,0.00753,0.02254,0.00156,0.02586,0.00755,0.0567,0.00465,0.0027,0.05012,0.00868,0,0.01785,0.00681,0.00087
Enorma_massiliensis,0,0,0,0,0,0,0.02455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31603,0,0,0,0,0,0,0,0,0
[Collinsella]_massiliensis,0,0,0,0,0.00021,0,0.00038,0,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0.00123,0.00136,0.06053,0,0,0.00136,0,0,0,0,0,0,0.00258,0,0,0,0,0,0,0,0,0.01594,0,0,0,0,0,0,0.00025,0,0
Adlercreutzia_equolifaciens,0,0.49473,0,0.01178,0.77006,0.17218,0.22164,0,0.00041,3.19911,0,1.65277,0,2.18537,0,1.17308,2.31447,0,0,2.94545,0.45496,0,0.80229,0,2.27581,0,0,0,0.42661,0.05599,0,0,0.86024,0,1.09973,0,0,0,0,0.00158,0,0.45294,0.30517,0.01248,0.16849,0,0,0,0,0.38212,0.02235,0,0,0.87294,0
Asaccharobacter_celatus,0,0.1369,0,0.00122,0.52901,0.04815,0.05647,0,0,0.83991,0,0.47544,0,0.52834,0,1.25885,0.68218,0,0,0.92727,0.13586,0,0.2025,0,0.67161,0,0,0,0.10591,0.019,0,0,0.25733,0,0.3343,0,0,0,0,0,0,0.11893,0.10088,0.00356,0.04304,0,0,0,0,0.11544,0.00655,0,0,0.20546,0
Eggerthella_lenta,1.45573,0.46742,0,0.12922,0.09136,0.00045,0.02904,0,0.04987,1.41864,0.00456,0.03395,1.21508,1.33382,0.02574,0.03101,0.03281,0.86434,0,0.24893,0.0044,0.12612,0,0.14598,0.15534,0.30112,1.16257,0.7411,0,0,0.00056,0.8668,0.0087,1.26546,0,0.35594,0.69178,0.1491,0,0,0.37199,0.2297,0.01251,0.00638,0.48257,0,0,0.6388,0.30543,0,0.11422,0.47936,3.63207,0.00122,0.54394
Enterorhabdus_caecimuris,0,0.00088,0,0,0.00385,0,0.00061,0,0,0.01262,0,0.00895,0,0.01013,0,0.01394,0.00953,0,0,0.01022,0.00274,0,0.0063,0,0.01175,0,0,0,0.00219,0,0,0,0.00214,0,0.0037,0,0,0,0,0,0,0.00203,0.00082,0,0.00115,0,0,0,0,0.00232,0,0,0,0.00368,0
Gordonibacter_pamelaeae,0.33337,0.03888,0,0.0095,0.03988,0,0.23932,0,0.0055,0.19146,0.00502,0.02637,0.11904,0.3538,0.02461,0.13807,0.10365,0.07273,0.00033,0.03481,0.00396,0.03995,0.0114,0.0098,0.0706,0.05557,0.19579,0.05479,0.00161,0.00754,0.01478,0.28264,0.12169,0.56715,0.10569,0.02845,0.13415,0.01012,0,0,0.0263,0.11683,0.02846,0.0108,0.08154,0,0,0.08983,0.04004,0.04391,0.02782,0.05415,0.40266,0.03236,0.13621
Slackia_isoflavoniconvertens,0,0,0.00354,0,0,0.3831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93926,0,0,0,0,0,0,0,0,0.13531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11639,0,0,0,0,0,0,0,0
Bacteroides_caccae,0.58345,0.11372,0,0.0692,0.00963,1.08946,1.54968,0,0.01563,0.69957,0,0.02237,0.39823,0,4.55038,0.46805,0.01967,0.08041,0,0.24611,0,0.06767,0.53811,0,0.15212,0.28503,0,0.02883,1.34941,0.01003,0,0,0.66114,1.05153,0.0502,0.0768,0.22385,0,0.00077,0.00084,5.79502,0.26456,0.51664,0,0.01576,0.64035,0.39352,0.06386,0.04831,0.1047,1.71957,0,0.33304,3.29796,1.30889
Bacteroides_cellulosilyticus,0,0,0,0,0.05185,0,0.02484,0,0,0.69821,0,0,0.05266,0.1133,0,0,0,0,0,0.00064,0,0,0.00372,0,0,0,0.00055,0,0.01002,0.00821,0,0,0,0,0.04286,0,0,0,0,0,0,0.10906,0,0,0,0,0,0,0,0,0,0.0109,0.00467,0,0
Bacteroides_clarus,0.07132,0,0,0,0,0,0,0,0,0,0,0,0,0.0061,0,0,0,0,0,0,0,0.00111,0,0,0,0,0,0,0,0,0,0,0,0,0.00193,0,0,0,0,0,0,0.00309,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides_coprocola,1.22185,0,0,0,0,0,0.07219,0,0.07626,0,0,0.5993,0,0,0,0.62722,0.08261,0,0,0,0,0.56811,0.05832,0,0.02166,0.45113,0,0,0,0,0.08309,0,0,0,0.0011,0,0,0,0.07249,0.07169,0,0,0.34112,10.59447,0,0,0,0,0,0.00238,0,0,0,1.55851,0
Bacteroides_coprophilus,0,0,0,0,0,0,0.09971,0,0,0,0,0,0,0,0,2.19663,0,0,0,0,0,0.07878,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides_dorei,0.03139,0.11959,0,0.01986,0,0.27829,0.09661,0,0.00464,1.68438,0,0.01008,7.16399,0.98423,0,0,0,1.19282,0,0,0.20521,0,0.14855,0,0.00906,0.65961,1.37754,0.00735,0.29009,0.01231,0.01846,0,0,0,0,0.07757,0.05626,0,0,0,0,0,0.05446,0,0,0,0.03541,0,0.02575,0,1.66042,0,0.01557,0.00459,0
Bacteroides_eggerthii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03872,0.05206,0.39732,0,0,0.20629,0,0.0081,0,0,0,0,0,0,0.06571,0,0,0,0,0,0,0.82158,0,0,0,0.28416,0,0,0.09647,0,0.07038,1.90016,0.0037,0,0
Bacteroides_faecis,0,0.01232,0,0,0,0,0,0,0.02275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00072,0,0,0,0,0,0,0,0.00183,0,0.00117,0,0,0,0.37987,0,0,0.01006,0,0.01516,0,0,0,0,0.1539,0,0,0
Bacteroides_faecis_CAG_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00123,0,0.00343,0,0,0,0,0.14348,0,0,0
Bacteroides_finegoldii,0.07715,0,0,0,0.11508,0.27758,0.00046,0,0,0.29614,0,0.03923,0,0.00808,0,0.06417,0.13643,0,0,0,0.77396,0.02835,0.11383,0,0.03524,0.03604,0,0,0.52199,0.01867,0,0,0.87376,0,0.10892,0,0.06463,0,0,0,0,0.11255,0.16365,0,0.0049,0,0,0,0.03716,0.00475,0,0,0.0177,0,0
Bacteroides_fragilis,0,0.00146,0,0,0,0,0,2.36823,0,0,0,0,0.01098,0.34649,0,0,0.00894,0,0.03022,0.00029,0.15683,0,0.05161,13.82724,0.00187,0,1.89124,0,0,0,0,0.22564,0,0,0,0,0.05431,0.00206,0,0,0.03533,0.04781,0,0.02107,0,0,0,1.06168,0,0,7.32658,1.13555,0,0.15396,0
Bacteroides_galacturonicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23804,0,0
Bacteroides_intestinalis,0.00995,0,0,0,0.25134,0,0,0,0,0,0.05944,0,0,0.00605,0.29779,0,0,0,0,0,0.00184,0,0.09821,0,0,0,0.0977,0,0.18744,0.00834,0,0.08087,0.86435,0,0.16745,0,0,0,0,0,0,0,0.00581,0.07015,0,0,0,0,0,0.00025,0,0.02327,0.01758,0,0
Bacteroides_massiliensis,0.01078,0,0,0,0.15747,0.13862,0,0,0,0,0.37228,0,0,0,1.63085,0.00539,0.00414,0,0,0,0,0,0.05977,0,0,0,0,0,0.20339,0.01919,0,0,1.26227,0,0.20236,0,0.00806,0,0,0,0,0.13457,0.06902,1.40396,0.00845,0.31207,0.22378,0,0.16409,0.01993,0,0,0.06328,0,0.12191
Bacteroides_nordii,0.0007,0,0,0,0,0,0.00391,0,0,0,0,0,0,0,0.0007,0,0,0,0,0,0,0,0,0,0,0,0.00077,0,0.00073,0,0,0,0.00088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00256,0
Bacteroides_ovatus,0.80114,0.0547,0,0.00907,0.40703,0.05354,0.19276,0,0.00586,1.33095,0.17555,0.02142,3.67195,0.30601,1.93442,0.17246,0.00899,0.14767,0,0.13178,0.16844,0.66516,0.01814,16.74824,0.00264,0.04223,0.70346,0.01005,0.20284,0.02739,0.00258,0.29134,0.68858,0.30653,0.20984,0.07852,0.0345,0.00013,0,0,0,0.14002,0.49713,0.09661,0.01382,0.97213,0.00724,0.20394,0.00214,0.10265,0.00604,0.3342,0,1.45275,0.49147
Bacteroides_plebeius,0,0,0,0,0,1.04436,0.38423,0,0.12783,2.81685,0,2.06374,0,0,0,0.37955,0.10035,0,0,0,2.47844,3.68652,0,0,0,0,0,0,0.74442,0.00669,0.37277,0,0,10.50305,0,0.5749,0,0,0.21105,0.2323,0,0,1.53053,0,0.16118,0,1.22541,0,0,0.41844,0,0,0.09038,0.81881,0.75077
Bacteroides_salyersiae,0,0,0,0,0,0,0,0,0.00021,0,0,0.00118,0,0.03118,0,0,0,0,0,0,0,0,0.00267,0,0.03215,0.003,0,0,0,0.00018,0,0,0,0,0,0,0.02475,0,0,0,0,0.16002,0.04434,0,0,0,0,0,0,0.00292,0,0,0,0,0
Bacteroides_sp_CAG_462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00348,0,0,0,0,0,0,0,0,0,0
Bacteroides_sp_CAG_530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47262,0,0,0,0,0,0,0,0
Bacteroides_sp_CAG_661,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides_sp_D2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00445,0,0,0,0,0,0,0,0,0,0,0,0,0.0113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00469
Bacteroides_sp_OM05_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02863,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides_sp_OM08_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides_stercoris,3.32977,0,0.00151,0.04832,0.20897,1.86053,3.34051,0,0.0141,3.77537,0,0.35038,0,29.56277,28.17586,0.33195,0.23913,0.26502,0,0,0.38276,0.00097,0.16629,0.40659,0.02534,0.41582,0,0.0324,0.14979,0.0634,0.00325,0,0.64282,1.60857,3.27244,0,0.35107,0.28848,0,0,12.52428,0.92907,0.24308,20.64425,0.00808,11.11508,0.06305,0.22005,0.34682,0.03818,0,0.94876,0.01898,2.29996,1.6858
Bacteroides_thetaiotaomicron,0.03474,0.01184,0,0.01128,0.31372,0.28455,1.3466,0.02091,0.00019,0.31324,0.27064,0.00963,1.43431,0.56276,0.57559,0.06445,0.01333,0.0017,0.02406,0.02676,0.04224,0.04521,0.05782,2.71928,0.01134,0.00719,0.51129,0,0.54392,0.00823,0.00171,0.30194,0.21248,0.06268,0.48946,0.00105,0.05021,0.04324,0,0,1.47803,0.02332,0.09794,0.4175,0,2.3256,0.04239,0.10823,0.03297,0.03882,0.24574,0.09818,0.00697,0.5472,1.63308
Bacteroides_uniformis,1.56806,0.0269,0,0.02927,2.07828,0.06842,6.57456,0.00162,0.04167,3.19423,0.36301,0.07615,2.37286,2.4288,6.73329,0.30962,0.02013,0.07539,0,0.07796,1.12995,1.56742,0.68585,22.17831,0.10868,0.09347,3.47901,0.00677,0.67247,0.11969,0.02399,0.7245,2.75509,1.16366,1.31859,0.04609,0.2426,0.34745,0,0.00874,4.82205,3.35609,5.71883,9.40681,0.04987,1.44473,0.01467,0.06808,0.29612,0.1599,0.48896,1.94739,0.01602,4.61169,0
Bacteroides_vulgatus,0.71987,0,0.00986,0.24565,2.28538,0.76076,6.3754,0.00118,0.38949,1.67717,1.65955,0.46396,0,1.23276,4.538,0.74248,0.32668,0,1.04812,0.20296,0.76947,1.2127,0.16332,10.17083,0.5714,0.16193,3.22488,0.15209,2.31251,0.06209,0,0.28429,5.29998,1.58809,1.07664,0.00066,0.693,0.32007,0.13491,0.13398,14.85532,1.01952,0.54069,6.5485,0.0831,11.3715,2.60837,0.8926,0.155,0.65334,0,6.11548,0.06157,4.7904,1.47475
Bacteroides_xylanisolvens,0.11523,0,0,0,0.06252,0.27874,1.8426,0,0.00279,0,1.22367,0.00069,0.23908,0,0.09097,0.0064,0.00196,0.00064,0.0377,0,0.00287,0.02736,0.07308,3.57989,0.02306,0.0016,0.03137,0,0.01113,0,0,0.10184,0.24647,0.70348,0.01577,0,0,0.07205,0,0,4.22899,0.0182,0.01183,0.30301,0,3.46511,0.06473,0.33284,0.03491,0.01174,0.44038,0.06204,0.00592,0.01635,0
Barnesiella_intestinihominis,0,0,0,0,0,0,0,0,0.02079,0.11075,0,0.00831,0,0.47402,0,0,0.03516,0,0,0,0,0.04054,0.61412,0,0.06079,0.05089,0.36586,0,0,0.08057,0,0,1.21453,0,0.04476,0,0,0,0,0,0,2.44457,0.04437,0.81226,0.00965,0,0,0,0.01263,0.27081,0,0,0,0,0
Coprobacter_fastidiosus,0,0,0,0,0,0,0,0,0,0.0083,0,0,0,0.00939,0,0,0,0,0,0,0,0.02371,0.00577,0.01863,0.0074,0,0,0,0,0,0,0,0,0,0,0,0.00685,0,0,0,0,0.14521,0,0,0,0,0,0,0.00582,0,0,0.07045,0,0,0
Coprobacter_secundus,0,0,0,0,0,0,0,0,0,0.00122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0.08851,0.01294,0,0,0,0,0,0,0,0,0,0,0,0
Butyricimonas_synergistica,0,0.00344,0,0,0,0.00558,0.41875,0,0.01744,0.00772,0,0.00551,0,0.0017,0,0,0,0,0,0,0.01735,0,0,0,0,0,0,0,0.00898,0.00014,0,0,0.00013,0,0,0,0.00258,0,0,0,0,0.00091,0.00281,0.00664,0,0,0,0,0,0.00417,0,0,0,0.00285,0
Butyricimonas_virosa,0,0.00129,0,0,0.02978,0,0.14811,0,0,0.00118,0,0.00036,0,0.21856,0.15576,0,0,0,0,0,0.00015,0.01023,0.01966,0,0.00981,0,0,0,0.00928,0.0226,0,0,0.22398,0,0.16217,0,0,0,0,0,0,0.12405,0.06535,0.01439,0,0,0,0,0.00056,0.01413,0.05344,0.21209,0.01111,1.40245,0
Odoribacter_splanchnicus,0.08801,0,0,0,0.16236,0.02612,0.36035,0,0.01053,0.04993,0.11277,0,0.28549,0.4625,0.28841,0,0.00933,0,0,0.01706,0.04942,0.03775,0.12682,0,0.09372,0.00437,0.26932,0,0.09849,0.3758,0,0,0.93885,0,0.54389,0,0.02646,0,0,0,0.18895,0.64817,0.45821,0.41376,0,0,0.01319,0,0.02757,0.07269,0.19981,0.12741,0.00902,0.20419,0
Porphyromonas_asaccharolytica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00508,0,0,0,0
Porphyromonas_sp_HMSC065F10,0.00193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01282,0,0,0,0,0,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03532,0,0,0,0
Porphyromonas_uenonis,0.00116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00206,0,0,0,0
Sanguibacteroides_justesenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01988,0,0,0,0,0,0,0.06224,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraprevotella_clara,0.00904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045,0.00016,0.00122,0,0,0,0,0.03668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00218,0,0,0,0,0,0,0,0.00141,0,0,0,0,0
Paraprevotella_xylaniphila,0.10278,0,0,0,0,0.02739,0,0,0,0.41473,0,0.02081,0,0.02271,0.17861,0.01284,0.05123,0,0,0,0,0.04466,0,0,0,0,0,0,0,0,0.00417,0,0,0,0.038,0,0,0,0,0,0,0.122,0.03198,0,0,0,0,0,0,0.00346,0,0,0,0.21774,0.01346
Prevotella_bergensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02505,0,0,0,0
Prevotella_bivia,0.00678,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496,0,0,0,0.00425,0,0.00203,0.00797,0,0.00387,0,0,0,0,0,0.00183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00061
Prevotella_buccalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07048,0,0,0,0
Prevotella_copri,0,0.42786,0.32099,0,0,1.25697,0.29885,0,2.02398,0,0,0,0,0,0,7.51928,0.35883,0,1.28459,0,0,0.01313,0.93699,0,1.18033,0,0,0,5.92298,0.54894,9.00E-05,0,4.22887,0,2.90012,0,0,0,0.19834,0.22848,0,0,0,0,0,0,28.53632,0,0,0.53804,0,0,1.10832,0.70209,0.38475
Prevotella_corporis,0,0,0,0,0,0,0,0,0,0,0,0.00524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07892,0,0,0,0.07128,0,0,0,0
